Instance,"Time, sec",Colors,Color classes
myciel3.col,9.999275207519531e-05,4,"[[3, 4, 11], [6, 7, 8, 9, 10], [1, 5], [2]]"
myciel7.col,0.004799652099609375,8,"[[2, 5, 11, 23, 47, 49, 52, 58, 70, 94, 97, 100, 106, 118, 142, 144, 147, 153, 165, 189], [17, 18, 19, 20, 21, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 95, 191], [3, 4, 8, 9, 14, 15, 26, 27, 50, 51, 55, 56, 61, 62, 66, 67, 73, 74, 78, 79, 84, 85, 89, 90, 98, 99, 103, 104, 109, 110, 114, 115, 121, 122, 126, 127, 132, 133, 137, 138, 145, 146, 150, 151, 156, 157, 161, 162, 168, 169, 173, 174, 179, 180, 184, 185], [1, 6, 10, 12, 16, 24, 28, 48, 53, 57, 59, 63, 64, 68, 71, 75, 76, 80, 82, 86, 87, 91, 96, 101, 105, 107, 111, 112, 116, 119, 123, 124, 128, 130, 134, 135, 139, 143, 148, 152, 154, 158, 159, 163, 166, 170, 171, 175, 177, 181, 182, 186], [7, 13, 25, 54, 60, 65, 72, 77, 83, 88, 102, 108, 113, 120, 125, 131, 136, 149, 155, 160, 167, 172, 178, 183], [22, 34, 69, 81, 92, 117, 129, 140, 164, 176, 187], [46, 141, 188, 190], [93]]"
school1.col,0.019400572776794432,15,"[[9, 13, 17, 21, 31, 39, 54, 63, 100, 129, 136, 148, 155, 156, 171, 192, 195, 236, 238, 240, 241, 243, 253, 265, 283, 284, 301, 306, 314, 315, 316, 363, 375, 383], [22, 42, 56, 59, 76, 89, 102, 104, 108, 122, 137, 138, 153, 163, 188, 194, 212, 218, 235, 285, 287, 296, 313, 317, 342, 345, 349, 354, 366, 382], [27, 40, 60, 77, 82, 86, 103, 109, 164, 186, 193, 213, 219, 226, 233, 246, 258, 268, 288, 295, 307, 343, 346, 355, 376, 377], [10, 19, 36, 58, 75, 80, 85, 101, 113, 121, 147, 162, 166, 185, 204, 228, 231, 245, 291, 303, 324, 341, 344, 348, 353, 365, 379], [14, 29, 47, 51, 68, 71, 88, 93, 131, 133, 135, 139, 140, 142, 158, 172, 187, 189, 208, 223, 248, 262, 269, 290, 292, 308, 309, 357, 368, 381], [12, 34, 43, 67, 70, 87, 92, 115, 117, 119, 126, 150, 157, 165, 182, 190, 222, 247, 267, 271, 289, 318, 330, 356, 362, 367, 380], [2, 3, 18, 28, 35, 50, 107, 120, 146, 167, 177, 196, 198, 199, 244, 256, 266, 286, 294, 302, 323, 327, 331, 339, 347, 364], [16, 20, 32, 38, 53, 62, 79, 84, 98, 130, 132, 134, 151, 154, 170, 176, 203, 216, 225, 252, 264, 276, 282, 293, 338, 374], [4, 24, 37, 61, 78, 83, 97, 114, 116, 118, 123, 169, 180, 217, 220, 224, 251, 275, 277, 281, 300, 325, 328, 340, 361, 373], [6, 66, 74, 91, 96, 111, 124, 141, 152, 183, 221, 230, 234, 250, 261, 274, 280, 305, 326, 329, 351, 360, 384, 385], [55, 65, 73, 90, 95, 99, 110, 125, 145, 160, 179, 184, 207, 215, 227, 255, 260, 273, 279, 299, 312, 322, 334, 337, 359, 372], [5, 25, 41, 44, 45, 49, 106, 128, 143, 161, 174, 200, 202, 210, 254, 259, 272, 278, 298, 310, 320, 332, 335, 350, 370], [1, 8, 15, 26, 30, 48, 52, 57, 69, 105, 127, 159, 168, 173, 197, 209, 214, 229, 237, 239, 249, 263, 270, 297, 304, 319, 369, 378], [7, 23, 33, 46, 64, 72, 94, 112, 144, 175, 178, 191, 201, 206, 211, 232, 311, 321, 333, 336, 352, 358, 371], [11, 81, 149, 181, 205, 242, 257]]"
school1_nsh.col,0.016201114654541014,21,"[[13, 22, 27, 60, 77, 82, 86, 103, 109, 136, 164, 176, 186, 193, 213, 219, 226, 233, 236, 241, 246, 258, 268, 284, 288, 295, 307, 313, 315, 316, 343, 346], [2, 11, 42, 55, 59, 76, 81, 102, 104, 108, 122, 137, 138, 149, 153, 163, 181, 188, 194, 205, 212, 218, 242, 257, 285, 287, 296, 309, 314, 322, 342, 345, 349], [10, 19, 36, 40, 44, 58, 75, 80, 85, 101, 113, 121, 147, 162, 166, 185, 204, 228, 231, 245, 291, 303, 324, 341, 344, 348], [14, 35, 68, 105, 115, 133, 139, 140, 168, 187, 189, 206, 208, 223, 255, 265, 269, 290, 334, 335], [12, 34, 43, 57, 67, 70, 87, 92, 114, 116, 118, 126, 150, 157, 165, 182, 190, 222, 247, 267, 271, 289, 318, 330], [3, 18, 28, 50, 107, 120, 146, 167, 177, 196, 198, 199, 244, 256, 266, 286, 294, 302, 323, 327, 331, 339, 347], [9, 17, 21, 31, 39, 54, 63, 100, 129, 148, 155, 156, 171, 192, 195, 238, 240, 243, 253, 283, 301, 306], [16, 20, 32, 38, 53, 62, 79, 84, 98, 131, 135, 141, 151, 154, 170, 203, 216, 225, 252, 264, 276, 282, 293, 338], [4, 24, 37, 61, 78, 83, 97, 117, 119, 123, 169, 180, 217, 220, 224, 251, 275, 277, 281, 300, 325, 328, 340], [6, 66, 74, 91, 96, 111, 124, 152, 183, 221, 230, 234, 250, 261, 274, 280, 305, 326, 329, 351], [7, 23, 65, 99, 110, 125, 145, 160, 179, 229, 235, 254, 273, 279, 308, 336, 352], [8, 15, 41, 72, 94, 143, 173, 200, 202, 210, 239, 272, 278, 304, 333], [1, 26, 30, 48, 52, 69, 127, 159, 197, 209, 214, 237, 249, 263, 270, 297, 319], [25, 45, 64, 106, 112, 128, 144, 178, 191, 201, 211, 232, 320], [29, 33, 71, 89, 130, 132, 134, 142, 158, 175, 248, 262, 292], [5, 49, 161, 174, 227, 259, 298, 310, 332, 350], [73, 90, 93, 172, 184, 207, 215, 260, 299, 312, 337], [46, 47, 95, 317], [88, 321], [51, 311], [56]]"
anna.col,0.0021999835968017577,11,"[[1, 2, 3, 4, 5, 6, 10, 11, 14, 15, 17, 22, 23, 24, 26, 30, 31, 38, 39, 41, 42, 44, 48, 49, 56, 62, 63, 65, 66, 71, 75, 77, 79, 80, 82, 84, 86, 87, 88, 90, 92, 96, 100, 103, 104, 105, 106, 107, 109, 111, 113, 114, 115, 117, 119, 121, 122, 124, 125, 128, 129, 132, 138], [8, 13, 16, 27, 29, 35, 40, 43, 50, 52, 58, 60, 61, 68, 69, 72, 76, 97, 98, 118, 123, 134, 136, 137], [12, 19, 21, 25, 28, 33, 37, 45, 47, 51, 53, 55, 67, 70, 93, 94, 102, 110, 112, 126, 130, 133, 135], [34, 46, 57, 64, 78, 83, 108, 116, 127], [20, 54, 59, 89, 99, 101, 131], [9, 73, 85, 91, 95], [32, 81, 120], [74], [36], [18], [7]]"
miles1000.col,0.005699706077575683,42,"[[19, 29, 35, 85, 98, 127], [5, 17, 55, 65, 95, 126], [56, 80, 104, 112, 121, 123], [11, 15, 87, 106, 118, 120, 128], [12, 77, 81, 101, 116, 122], [23, 34, 48, 59, 102, 115], [32, 54, 63, 67, 78, 113], [3, 14, 109, 111], [103, 107, 124, 125], [1, 13, 26, 51, 99], [7, 21, 33, 96, 119], [18, 47, 64, 94, 97], [9, 57, 73, 93], [4, 31, 92], [40, 44, 50, 60, 91], [16, 22, 49, 72, 88], [27, 37, 42, 86], [43, 84], [71, 83, 90], [6, 82, 100], [36, 76], [39, 75], [69, 89, 117], [68], [66], [62], [61, 70, 74], [58, 110], [53, 108], [52], [46, 114], [45, 105], [41, 79], [38], [30], [28], [25], [24], [20], [10], [8], [2]]"
miles1500.col,0.0068985939025878905,73,"[[3, 128], [17, 33, 127], [32, 126], [42, 60, 112, 125], [47, 63, 123], [51, 54, 122], [29, 56, 117], [77, 103, 116, 121], [21, 34, 115, 120], [81, 106, 114], [15, 113, 119], [9, 97, 111], [50, 110], [59, 109, 118], [49, 108], [35, 107], [36, 105, 124], [86, 102, 104], [48, 95, 101], [40, 100], [11, 37, 99], [26, 65, 96], [18, 31, 94], [4, 72, 93], [5, 92], [85, 91], [22, 90], [16, 89], [88], [12, 84], [44, 83], [61, 80], [79], [78], [76], [75, 87], [74], [73], [71], [70], [69], [68], [67], [66], [64], [62], [58], [57, 82], [55], [53, 98], [52], [46], [45], [43], [41], [39], [38], [30], [28], [27], [25], [24], [23], [20], [19], [14], [13], [10], [8], [7], [6], [2], [1]]"
le450_5a.col,0.01420137882232666,11,"[[18, 21, 41, 57, 67, 69, 72, 93, 102, 117, 119, 133, 136, 151, 155, 163, 165, 166, 168, 175, 183, 187, 204, 208, 212, 223, 227, 233, 243, 249, 256, 265, 276, 277, 287, 297, 298, 302, 312, 313, 321, 330, 333, 337, 342, 344, 388, 402, 403, 407, 408, 412, 413, 419, 429, 435, 436, 438, 440], [4, 7, 16, 56, 81, 91, 92, 97, 146, 167, 170, 172, 180, 184, 188, 189, 191, 200, 210, 213, 221, 224, 246, 251, 255, 257, 271, 274, 278, 290, 295, 300, 303, 304, 325, 339, 351, 354, 361, 362, 366, 368, 376, 385, 390, 393, 400, 405, 415, 425, 426, 441], [1, 3, 9, 42, 44, 47, 68, 70, 82, 87, 94, 101, 103, 106, 114, 124, 134, 140, 143, 157, 192, 195, 197, 198, 199, 202, 203, 205, 214, 215, 229, 248, 260, 261, 273, 282, 286, 292, 294, 308, 311, 314, 317, 319, 323, 346, 369, 382, 383, 406, 410, 442], [13, 20, 32, 36, 38, 49, 51, 61, 66, 71, 76, 80, 88, 96, 107, 113, 120, 126, 130, 138, 142, 158, 161, 162, 176, 186, 193, 196, 228, 241, 245, 252, 258, 283, 291, 296, 306, 332, 338, 343, 345, 356, 357, 358, 360, 367, 372, 373, 386, 392, 411, 417, 433, 443, 447], [5, 10, 11, 15, 19, 26, 29, 34, 39, 45, 59, 60, 98, 99, 105, 110, 115, 116, 121, 127, 129, 139, 141, 147, 150, 154, 179, 190, 217, 222, 236, 239, 240, 244, 254, 259, 269, 275, 285, 289, 301, 315, 334, 340, 349, 350, 374, 375, 379, 380, 381, 391, 397, 404, 416, 434, 449], [2, 12, 14, 28, 33, 35, 48, 53, 58, 64, 84, 89, 111, 112, 123, 125, 144, 148, 149, 153, 159, 174, 185, 194, 201, 234, 238, 263, 264, 305, 318, 320, 322, 324, 328, 329, 331, 341, 352, 359, 365, 401, 418, 420, 424, 428, 446, 450], [40, 46, 54, 55, 62, 74, 85, 86, 90, 104, 108, 122, 128, 135, 137, 145, 156, 171, 177, 216, 219, 220, 235, 262, 270, 272, 280, 309, 310, 336, 353, 370, 398, 409, 414, 421, 422, 427, 432, 445], [6, 17, 22, 25, 27, 43, 63, 73, 83, 100, 109, 118, 132, 152, 164, 178, 182, 207, 209, 211, 225, 226, 231, 242, 247, 250, 253, 267, 288, 363, 377, 389, 399, 423, 431, 439, 448], [8, 24, 31, 37, 50, 75, 78, 95, 131, 160, 169, 181, 218, 268, 281, 284, 335, 347, 348, 355, 364, 378, 384, 395, 430, 437, 444], [23, 52, 77, 79, 173, 230, 237, 279, 293, 299, 307, 316, 387, 394, 396], [30, 65, 206, 232, 266, 326, 327, 371]]"
le450_15b.col,0.018800687789916993,18,"[[26, 28, 29, 48, 50, 84, 86, 92, 101, 111, 116, 124, 126, 134, 142, 146, 159, 177, 186, 191, 214, 229, 236, 251, 253, 260, 283, 291, 313, 322, 327, 334, 339, 341, 347, 348, 356, 381, 391, 407, 416, 417, 429, 439, 440, 447, 450], [23, 40, 41, 53, 60, 80, 85, 108, 137, 150, 155, 160, 163, 169, 175, 200, 215, 227, 246, 258, 268, 270, 275, 282, 292, 300, 301, 378, 390, 405, 410, 421, 430, 441], [11, 27, 47, 71, 74, 76, 77, 82, 91, 93, 102, 122, 183, 213, 224, 230, 243, 252, 288, 326, 353, 357, 382, 384, 385, 401, 403, 406, 409, 422, 423, 437], [33, 45, 46, 59, 62, 65, 89, 96, 103, 121, 209, 211, 239, 290, 299, 309, 314, 316, 333, 335, 342, 346, 351, 362, 383, 399, 400, 404, 426, 448], [6, 9, 22, 24, 25, 37, 51, 113, 123, 128, 129, 156, 165, 194, 212, 221, 226, 245, 248, 261, 286, 293, 337, 338, 364, 386, 392, 393, 396, 398, 420, 436], [54, 64, 67, 90, 95, 112, 125, 133, 135, 153, 154, 205, 219, 228, 232, 247, 262, 295, 304, 311, 329, 336, 366, 371, 374, 414], [14, 81, 132, 145, 147, 176, 184, 185, 188, 189, 216, 217, 266, 269, 274, 289, 297, 312, 318, 321, 345, 350, 394, 397, 415, 438], [1, 4, 8, 17, 49, 52, 79, 87, 178, 192, 195, 196, 231, 233, 242, 267, 319, 340, 344, 352, 368, 433, 434, 449], [3, 15, 57, 73, 78, 94, 139, 143, 149, 152, 164, 174, 179, 222, 234, 244, 254, 265, 281, 296, 298, 307, 328, 343, 355, 359, 361, 372, 412], [10, 36, 38, 66, 75, 83, 110, 130, 141, 173, 187, 204, 255, 263, 284, 285, 294, 306, 320, 323, 375, 411, 425, 435, 442, 444], [7, 19, 30, 35, 56, 61, 63, 68, 70, 100, 151, 166, 172, 181, 203, 208, 241, 259, 280, 287, 365, 408, 446], [31, 34, 43, 55, 69, 88, 107, 115, 136, 162, 199, 202, 206, 218, 225, 273, 276, 305, 308, 332, 354, 379, 413, 419, 424, 428], [32, 42, 72, 114, 138, 148, 157, 182, 193, 207, 237, 238, 271, 303, 310, 330, 349, 358, 373, 377, 395, 402], [16, 39, 58, 97, 98, 106, 117, 118, 119, 131, 180, 190, 235, 240, 250, 257, 272, 277, 331, 360, 367, 387, 427], [5, 12, 20, 21, 105, 109, 140, 158, 161, 167, 198, 210, 249, 256, 264, 278, 302, 315, 363, 369, 380, 418, 432, 445], [2, 18, 44, 99, 104, 168, 197, 220, 223, 279, 317, 324, 376, 388, 389], [13, 120, 127, 170, 171, 201, 370, 431, 443], [144, 325]]"
queen11_11.col,0.002899956703186035,16,"[[4, 21, 39, 57, 74, 82, 95, 108, 121], [3, 20, 38, 66, 73, 81, 94, 107, 120], [11, 15, 54, 56, 72, 85, 93, 106, 119], [33, 50, 71, 84, 92, 109, 118], [2, 25, 42, 65, 70, 83, 96, 104, 117], [10, 12, 27, 41, 46, 62, 69, 88, 97, 103, 116], [19, 23, 40, 53, 61, 68, 98, 102, 115], [1, 18, 43, 52, 60, 77, 86, 91, 105, 114], [8, 16, 31, 59, 67, 87, 90, 110, 113], [17, 26, 34, 49, 76, 80, 99, 112], [5, 22, 30, 37, 58, 75, 79, 111], [6, 29, 44, 47, 63, 78, 101], [13, 32, 36, 51, 64, 100], [7, 14, 35, 48, 89], [9, 28, 55], [24, 45]]"
