Instance,"Time, sec",Clique size,Clique vertices
brock200_1,22.35290410518646,21,"[18, 20, 39, 68, 73, 81, 85, 87, 90, 92, 93, 94, 102, 108, 134, 135, 136, 142, 150, 178, 186]"
brock200_2,7.868298816680908,12,"[27, 48, 55, 70, 105, 120, 121, 135, 145, 149, 158, 183]"
brock200_3,10.703799986839295,15,"[12, 29, 36, 38, 58, 84, 97, 98, 104, 118, 130, 144, 158, 173, 178]"
brock200_4,14.921686220169068,17,"[12, 19, 28, 29, 38, 54, 65, 71, 79, 93, 117, 127, 139, 161, 165, 186, 192]"
brock400_1,38.695953249931335,23,"[38, 46, 52, 62, 110, 122, 125, 128, 131, 141, 185, 192, 213, 218, 231, 247, 290, 295, 331, 333, 361, 368, 372]"
brock400_2,44.406454372406,23,"[35, 53, 69, 84, 86, 130, 143, 144, 153, 165, 168, 177, 205, 208, 219, 251, 261, 280, 296, 319, 326, 361, 377]"
brock400_3,45.49380190372467,31,"[18, 20, 39, 68, 73, 85, 90, 92, 93, 102, 108, 134, 135, 142, 150, 178, 186, 207, 221, 223, 234, 252, 260, 262, 276, 304, 311, 348, 365, 380, 388]"
brock400_4,49.45067670345306,23,"[26, 33, 97, 166, 180, 189, 192, 193, 226, 227, 234, 238, 247, 248, 255, 300, 314, 316, 317, 344, 376, 382, 385]"
C125.9,36.49794089794159,34,"[1, 5, 7, 9, 11, 19, 25, 29, 31, 34, 44, 45, 49, 50, 52, 55, 65, 66, 68, 70, 77, 80, 85, 91, 96, 98, 99, 103, 104, 110, 114, 117, 122, 125]"
gen200_p0.9_44,68.10297744274139,37,"[2, 13, 16, 20, 23, 27, 38, 51, 52, 58, 65, 72, 75, 86, 94, 96, 97, 100, 102, 108, 117, 120, 127, 138, 139, 141, 144, 146, 150, 151, 153, 166, 170, 175, 180, 186, 195]"
gen200_p0.9_55,73.90919370651245,51,"[5, 6, 12, 14, 15, 19, 21, 25, 26, 27, 30, 33, 35, 41, 45, 62, 67, 69, 73, 76, 77, 78, 79, 82, 86, 88, 89, 91, 93, 95, 96, 107, 111, 113, 116, 117, 123, 129, 144, 146, 147, 159, 163, 164, 169, 177, 182, 187, 192, 197, 199]"
hamming8-4,11.881665134429932,16,"[11, 21, 46, 52, 66, 96, 103, 121, 136, 154, 161, 191, 205, 211, 236, 246]"
johnson16-2-4,8.749102020263672,8,"[11, 32, 38, 50, 73, 86, 103, 108]"
johnson8-2-4,2.1040000438690187,4,"[4, 8, 21, 24]"
keller4,8.142001175880432,11,"[2, 11, 15, 17, 35, 62, 81, 83, 91, 109, 118]"
MANN_a27,420.15426609516146,125,"[1, 4, 6, 9, 12, 13, 19, 21, 23, 29, 32, 34, 38, 42, 43, 46, 49, 52, 57, 58, 61, 64, 69, 71, 73, 76, 81, 82, 87, 89, 91, 94, 99, 101, 103, 106, 111, 113, 115, 120, 122, 126, 128, 130, 135, 137, 141, 142, 147, 150, 153, 155, 159, 161, 165, 167, 169, 174, 176, 178, 182, 185, 187, 191, 195, 197, 201, 203, 205, 209, 211, 214, 217, 222, 225, 228, 231, 232, 236, 240, 243, 244, 247, 251, 253, 257, 260, 264, 266, 269, 272, 274, 278, 282, 288, 290, 294, 296, 300, 303, 304, 308, 310, 315, 316, 321, 324, 326, 329, 333, 336, 337, 340, 343, 346, 350, 353, 356, 358, 363, 364, 369, 371, 374, 377]"
MANN_a9,9.480903267860413,16,"[1, 2, 7, 9, 12, 13, 17, 20, 23, 26, 29, 32, 36, 38, 40, 43]"
p_hat1000-1,27.978177642822267,10,"[87, 92, 228, 429, 578, 817, 882, 893, 933, 992]"
p_hat1000-2,99.12223606109619,39,"[8, 33, 38, 75, 84, 85, 122, 162, 171, 173, 179, 196, 199, 227, 287, 298, 322, 416, 438, 464, 495, 525, 533, 549, 562, 608, 636, 639, 776, 782, 785, 801, 811, 819, 839, 900, 962, 988, 993]"
p_hat1500-1,53.37022070884704,11,"[39, 165, 215, 245, 485, 657, 940, 965, 1093, 1161, 1330]"
p_hat300-3,35.7536484003067,32,"[19, 20, 24, 26, 38, 40, 49, 56, 59, 76, 79, 87, 98, 107, 135, 146, 149, 161, 172, 197, 200, 209, 213, 221, 226, 237, 252, 262, 268, 287, 290, 297]"
p_hat500-3,77.44807970523834,44,"[3, 10, 30, 37, 39, 63, 68, 71, 99, 102, 116, 123, 137, 150, 160, 173, 183, 193, 206, 222, 231, 250, 269, 282, 297, 300, 302, 323, 332, 342, 359, 383, 394, 408, 412, 418, 432, 455, 465, 468, 489, 490, 496, 500]"
san1000,50.52343378067017,10,"[7, 29, 150, 268, 311, 437, 545, 715, 847, 978]"
sanr200_0.9,44.09828617572784,39,"[4, 7, 8, 13, 18, 33, 36, 39, 57, 59, 63, 67, 71, 72, 86, 93, 94, 95, 98, 102, 103, 105, 110, 125, 126, 129, 131, 133, 143, 145, 150, 153, 158, 160, 167, 181, 185, 189, 199]"
sanr400_0.7,25.43192067146301,20,"[41, 49, 61, 71, 131, 133, 135, 140, 172, 177, 186, 194, 244, 271, 283, 307, 350, 364, 375, 385]"
